,zona,fecha,Freq
1,Av. Del Mar,2018-01,15700
2,Av. Del Mar,2018-02,14612
3,Av. Del Mar,2018-03,14347
4,Av. Del Mar,2018-04,16866
5,Av. Del Mar,2018-05,19087
6,Av. Del Mar,2018-06,17505
7,Av. Del Mar,2018-07,16584
8,Av. Del Mar,2018-08,20629
9,Av. Del Mar,2018-09,17005
10,Av. Del Mar,2018-10,12416
11,Av. Del Mar,2018-11,11469
12,Av. Del Mar,2018-12,14436
13,Av. Del Mar,2019-01,15209
14,Av. Del Mar,2019-02,15839
15,Av. Del Mar,2019-03,12242
16,Av. Del Mar,2019-04,16139
17,Av. Del Mar,2019-05,18994
18,Av. Del Mar,2019-06,17054
19,Av. Del Mar,2019-07,16702
20,Av. Del Mar,2019-08,20072
21,Av. Del Mar,2019-09,18449
22,Av. Del Mar,2019-10,14565
23,Av. Del Mar,2019-11,14365
24,Av. Del Mar,2019-12,15855
25,Av. Del Mar,2020-01,15693
26,Av. Del Mar,2020-02,16694
27,Av. Del Mar,2020-03,16200
28,Av. Del Mar,2020-04,15190
29,Av. Del Mar,2020-05,8947
30,Av. Del Mar,2020-06,6877
31,Av. Del Mar,2020-07,6705
32,Av. Del Mar,2020-08,13620
33,Av. Del Mar,2020-09,17336
34,Av. Del Mar,2020-10,17913
35,Av. Del Mar,2020-11,16437
36,Av. Del Mar,2020-12,16765
37,Av. Del Mar,2021-01,14560
38,Av. Del Mar,2021-02,16725
39,Av. Del Mar,2021-03,15782
40,Av. Del Mar,2021-04,16530
41,Av. Del Mar,2021-05,19183
42,Av. Del Mar,2021-06,20578
43,Av. Del Mar,2021-07,20442
44,Av. Del Mar,2021-08,20812
45,Av. Del Mar,2021-09,17875
46,Av. Del Mar,2021-10,14944
47,Av. Del Mar,2021-11,17324
48,Av. Del Mar,2021-12,17747
49,Av. Internacional,2018-01,11058
50,Av. Internacional,2018-02,10101
51,Av. Internacional,2018-03,10064
52,Av. Internacional,2018-04,13434
53,Av. Internacional,2018-05,15364
54,Av. Internacional,2018-06,12605
55,Av. Internacional,2018-07,10612
56,Av. Internacional,2018-08,10749
57,Av. Internacional,2018-09,10540
58,Av. Internacional,2018-10,9493
59,Av. Internacional,2018-11,10360
60,Av. Internacional,2018-12,10200
61,Av. Internacional,2019-01,9884
62,Av. Internacional,2019-02,9853
63,Av. Internacional,2019-03,9579
64,Av. Internacional,2019-04,9493
65,Av. Internacional,2019-05,9355
66,Av. Internacional,2019-06,10509
67,Av. Internacional,2019-07,10201
68,Av. Internacional,2019-08,10208
69,Av. Internacional,2019-09,9788
70,Av. Internacional,2019-10,9377
71,Av. Internacional,2019-11,9170
72,Av. Internacional,2019-12,9416
73,Av. Internacional,2020-01,8705
74,Av. Internacional,2020-02,8829
75,Av. Internacional,2020-03,8832
76,Av. Internacional,2020-04,8570
77,Av. Internacional,2020-05,7286
78,Av. Internacional,2020-06,7213
79,Av. Internacional,2020-07,8084
80,Av. Internacional,2020-08,7976
81,Av. Internacional,2020-09,8867
82,Av. Internacional,2020-10,8273
83,Av. Internacional,2020-11,8895
84,Av. Internacional,2020-12,9255
85,Av. Internacional,2021-01,9680
86,Av. Internacional,2021-02,9929
87,Av. Internacional,2021-03,9448
88,Av. Internacional,2021-04,9368
89,Av. Internacional,2021-05,9657
90,Av. Internacional,2021-06,10605
91,Av. Internacional,2021-07,10360
92,Av. Internacional,2021-08,10219
93,Av. Internacional,2021-09,9727
94,Av. Internacional,2021-10,8203
95,Av. Internacional,2021-11,9726
96,Av. Internacional,2021-12,9203
97,Av. Internacional Venadillo,2018-01,8689
98,Av. Internacional Venadillo,2018-02,7824
99,Av. Internacional Venadillo,2018-03,7621
100,Av. Internacional Venadillo,2018-04,7963
101,Av. Internacional Venadillo,2018-05,7608
102,Av. Internacional Venadillo,2018-06,7528
103,Av. Internacional Venadillo,2018-07,7718
104,Av. Internacional Venadillo,2018-08,8412
105,Av. Internacional Venadillo,2018-09,7454
106,Av. Internacional Venadillo,2018-10,7428
107,Av. Internacional Venadillo,2018-11,7172
108,Av. Internacional Venadillo,2018-12,7934
109,Av. Internacional Venadillo,2019-01,6140
110,Av. Internacional Venadillo,2019-02,4943
111,Av. Internacional Venadillo,2019-03,4723
112,Av. Internacional Venadillo,2019-04,5778
113,Av. Internacional Venadillo,2019-05,5324
114,Av. Internacional Venadillo,2019-06,4633
115,Av. Internacional Venadillo,2019-07,5041
116,Av. Internacional Venadillo,2019-08,5323
117,Av. Internacional Venadillo,2019-09,5340
118,Av. Internacional Venadillo,2019-10,5107
119,Av. Internacional Venadillo,2019-11,4787
120,Av. Internacional Venadillo,2019-12,5433
121,Av. Internacional Venadillo,2020-01,5144
122,Av. Internacional Venadillo,2020-02,5167
123,Av. Internacional Venadillo,2020-03,5784
124,Av. Internacional Venadillo,2020-04,4541
125,Av. Internacional Venadillo,2020-05,3697
126,Av. Internacional Venadillo,2020-06,774
127,Av. Internacional Venadillo,2020-07,4463
128,Av. Internacional Venadillo,2020-08,4895
129,Av. Internacional Venadillo,2020-09,5675
130,Av. Internacional Venadillo,2020-10,5426
131,Av. Internacional Venadillo,2020-11,5619
132,Av. Internacional Venadillo,2020-12,5370
133,Av. Internacional Venadillo,2021-01,6447
134,Av. Internacional Venadillo,2021-02,5404
135,Av. Internacional Venadillo,2021-03,5287
