"","Wcol","Anio","consumo","mes"
"1","2DA. AMP. FELIPE ANGELES",2021,"1010","enero"
"2","2DA. AMP. FELIPE ANGELES",2020,"1025","enero"
"3","2DA. AMP. FELIPE ANGELES",2018,"900","enero"
"4","2DA. AMP. FELIPE ANGELES",2019,"1160","enero"
"5","ADOLFO LOPEZ MATEOS",2018,"23063","enero"
"6","ADOLFO LOPEZ MATEOS",2020,"20924","enero"
"7","ADOLFO LOPEZ MATEOS",2021,"18538","enero"
"8","ADOLFO LOPEZ MATEOS",2019,"20446","enero"
"9","AEROPUERTO RAFAEL BUELNA",2019,"3904","enero"
"10","AEROPUERTO RAFAEL BUELNA",2018,"4388","enero"
"11","AEROPUERTO RAFAEL BUELNA",2021,"2594","enero"
"12","AEROPUERTO RAFAEL BUELNA",2020,"2635","enero"
"13","ALEJANDRIA PRIV. RESIDENCIAL",2020,"1134","enero"
"14","ALEJANDRIA PRIV. RESIDENCIAL",2019,"849","enero"
"15","ALEJANDRIA PRIV. RESIDENCIAL",2021,"2015","enero"
"16","ALEJANDRIA PRIV. RESIDENCIAL",2018,"137","enero"
"17","AMP. 20 DE NOVIEMBRE",2019,"6462","enero"
"18","AMP. 20 DE NOVIEMBRE",2020,"5757","enero"
"19","AMP. 20 DE NOVIEMBRE",2021,"5644","enero"
"20","AMP. 20 DE NOVIEMBRE",2018,"6634","enero"
"21","AMP. ESPERANZA",2019,"1619","enero"
"22","AMP. ESPERANZA",2021,"1622","enero"
"23","AMP. ESPERANZA",2018,"1851","enero"
"24","AMP. ESPERANZA",2020,"1568","enero"
"25","AMP. FEDERICO VELARDE MELLADO",2020,"8","enero"
"26","AMP. FEDERICO VELARDE MELLADO",2019,"9","enero"
"27","AMP. FEDERICO VELARDE MELLADO",2018,"10","enero"
"28","AMP. FEDERICO VELARDE MELLADO",2021,"6","enero"
"29","AMP. FELIPE ANGELES",2018,"1777","enero"
"30","AMP. FELIPE ANGELES",2021,"1779","enero"
"31","AMP. FELIPE ANGELES",2020,"1694","enero"
"32","AMP. FELIPE ANGELES",2019,"1790","enero"
"33","AMP. LIBERTAD",2018,"1883","enero"
"34","AMP. LIBERTAD",2021,"1722","enero"
"35","AMP. LIBERTAD",2020,"1753","enero"
"36","AMP. LIBERTAD",2019,"2018","enero"
"37","AMP. LOMA BONITA",2018,"1481","enero"
"38","AMP. LOMA BONITA",2021,"7797","enero"
"39","AMP. LOMA BONITA",2019,"1403","enero"
"40","AMP. LOMA BONITA",2020,"6361","enero"
"41","AMP. LOMAS DEL EBANO",2021,"4413","enero"
"42","AMP. LOMAS DEL EBANO",2018,"4017","enero"
"43","AMP. LOMAS DEL EBANO",2019,"4602","enero"
"44","AMP. LOMAS DEL EBANO",2020,"4346","enero"
"45","AMP. URIAS",2020,"6285","enero"
"46","AMP. URIAS",2021,"5601","enero"
"47","AMP. URIAS",2019,"5253","enero"
"48","AMP. URIAS",2018,"5302","enero"
"49","ANABELLA DE GAVICA I.D PIEDRA",2019,"1003","enero"
"50","ANABELLA DE GAVICA I.D PIEDRA",2020,"1195","enero"
"51","ANABELLA DE GAVICA I.D PIEDRA",2018,"1163","enero"
"52","ANABELLA DE GAVICA I.D PIEDRA",2021,"1597","enero"
"53","ANAHUAC",2020,"4413","enero"
"54","ANAHUAC",2018,"4059","enero"
"55","ANAHUAC",2021,"4502","enero"
"56","ANAHUAC",2019,"3575","enero"
"57","ANTONIO TOLEDO CORRO",2019,"5468","enero"
"58","ANTONIO TOLEDO CORRO",2018,"5995","enero"
"59","ANTONIO TOLEDO CORRO",2021,"6007","enero"
"60","ANTONIO TOLEDO CORRO",2020,"6076","enero"
"61","AV. DEL MAR",2018,"15700","enero"
"62","AV. DEL MAR",2019,"15209","enero"
"63","AV. DEL MAR",2020,"15693","enero"
"64","AV. DEL MAR",2021,"14560","enero"
"65","AV. RAFAEL BUELNA",2018,"992","enero"
"66","AV. RAFAEL BUELNA",2019,"1071","enero"
"67","AV. RAFAEL BUELNA",2020,"1289","enero"
"68","AV. RAFAEL BUELNA",2021,"1138","enero"
"69","AV. REFORMA",2018,"635","enero"
"70","AV. REFORMA",2019,"1031","enero"
"71","AV. REFORMA",2020,"723","enero"
"72","AV. REFORMA",2021,"477","enero"
"73","AZTECA",2018,"5786","enero"
"74","AZTECA",2021,"5955","enero"
"75","AZTECA",2020,"5573","enero"
"76","AZTECA",2019,"5075","enero"
"77","BAHIAS",2020,"1600","enero"
"78","BAHIAS",2021,"1737","enero"
"79","BAHIAS",2019,"1557","enero"
"80","BAHIAS",2018,"2430","enero"
"81","BENITO JUAREZ GARCIA",2018,"79535","enero"
"82","BENITO JUAREZ GARCIA",2020,"76418","enero"
"83","BENITO JUAREZ GARCIA",2021,"76018","enero"
"84","BENITO JUAREZ GARCIA",2019,"76358","enero"
"85","BUENOS AIRES",2018,"1385","enero"
"86","BUENOS AIRES",2019,"1333","enero"
"87","BUENOS AIRES",2020,"1475","enero"
"88","BUENOS AIRES",2021,"1516","enero"
"89","BUROCRATA FEDERAL",2020,"3210","enero"
"90","BUROCRATA FEDERAL",2021,"4424","enero"
"91","BUROCRATA FEDERAL",2019,"3264","enero"
"92","BUROCRATA FEDERAL",2018,"4136","enero"
"93","CARLOS SALINAS DE GORTARI",2020,"1043","enero"
"94","CARLOS SALINAS DE GORTARI",2019,"988","enero"
"95","CARLOS SALINAS DE GORTARI",2021,"1077","enero"
"96","CARLOS SALINAS DE GORTARI",2018,"1111","enero"
"97","CARRETERA  AL CONCHI",2021,"-","enero"
"98","CARRETERA  AL CONCHI",2020,"17","enero"
"99","CARRETERA  AL CONCHI",2019,"2","enero"
"100","CARRETERA  AL CONCHI",2018,"1","enero"
"101","CARRETERA INT. AL VENADILLO",2021,"6447","enero"
"102","CARRETERA INT. AL VENADILLO",2018,"8689","enero"
"103","CARRETERA INT. AL VENADILLO",2020,"5144","enero"
"104","CARRETERA INT. AL VENADILLO",2019,"6140","enero"
"105","CARRETERA INTERNACIONAL NORTE",2021,"9680","enero"
"106","CARRETERA INTERNACIONAL NORTE",2020,"8705","enero"
"107","CARRETERA INTERNACIONAL NORTE",2018,"11058","enero"
"108","CARRETERA INTERNACIONAL NORTE",2019,"9884","enero"
"109","CASA REDONDA",2019,"12012","enero"
"110","CASA REDONDA",2018,"11223","enero"
"111","CASA REDONDA",2020,"12099","enero"
"112","CASA REDONDA",2021,"12217","enero"
"113","CASAS ECONOMICAS",2021,"1568","enero"
"114","CASAS ECONOMICAS",2018,"1777","enero"
"115","CASAS ECONOMICAS",2019,"1685","enero"
"116","CASAS ECONOMICAS",2020,"1667","enero"
"117","CENTRO",2021,"136008","enero"
"118","CENTRO",2020,"139976","enero"
"119","CENTRO",2018,"152400","enero"
"120","CENTRO",2019,"148353","enero"
"121","CENTRO COM. LAS CONCHAS",2018,"371","enero"
"122","CENTRO COM. LAS CONCHAS",2020,"374","enero"
"123","CENTRO COM. LAS CONCHAS",2021,"340","enero"
"124","CENTRO COM. LAS CONCHAS",2019,"394","enero"
"125","CERRO DE LOS CHIVOS",2021,"146","enero"
"126","CERRO DE LOS CHIVOS",2019,"115","enero"
"127","CERRO DE LOS CHIVOS",2020,"165","enero"
"128","CERRO DE LOS CHIVOS",2018,"14","enero"
"129","CERRO DEL VIGIA",2021,"7857","enero"
"130","CERRO DEL VIGIA",2018,"7407","enero"
"131","CERRO DEL VIGIA",2019,"6685","enero"
"132","CERRO DEL VIGIA",2020,"7156","enero"
"133","COL. OBRERA INDUSTRIAL",2021,"1197","enero"
"134","COL. OBRERA INDUSTRIAL",2018,"1266","enero"
"135","COL. OBRERA INDUSTRIAL",2019,"1082","enero"
"136","COL. OBRERA INDUSTRIAL",2020,"1316","enero"
"137","COLOSIO SI",2019,"10335","enero"
"138","COLOSIO SI",2020,"10492","enero"
"139","COLOSIO SI",2018,"9334","enero"
"140","COLOSIO SI",2021,"10809","enero"
"141","COND. CANTERA, FRACC. SABALO",2019,"85","enero"
"142","COND. CANTERA, FRACC. SABALO",2018,"58","enero"
"143","COND. CANTERA, FRACC. SABALO",2021,"55","enero"
"144","COND. CANTERA, FRACC. SABALO",2020,"53","enero"
"145","COND. HORIZON SKY RESIDENCES",2020,"556","enero"
"146","COND. HORIZON SKY RESIDENCES",2019,"538","enero"
"147","COND. HORIZON SKY RESIDENCES",2021,"692","enero"
"148","COND. HORIZON SKY RESIDENCES",2018,"423","enero"
"149","COND. MARINA DEL REY",2020,"849","enero"
"150","COND. MARINA DEL REY",2021,"694","enero"
"151","COND. MARINA DEL REY",2018,"647","enero"
"152","COND. MARINA DEL REY",2019,"589","enero"
"153","COND. MARINA GARDENS VILLAS",2020,"455","enero"
"154","COND. MARINA GARDENS VILLAS",2021,"344","enero"
"155","COND. MARINA GARDENS VILLAS",2018,"649","enero"
"156","COND. MARINA GARDENS VILLAS",2019,"341","enero"
"157","COND. RAICES, SABALO COUNTRY",2019,"612","enero"
"158","COND. RAICES, SABALO COUNTRY",2020,"775","enero"
"159","COND. RAICES, SABALO COUNTRY",2021,"872","enero"
"160","COND. RAICES, SABALO COUNTRY",2018,"552","enero"
"161","COND. VISTA DE LA MARINA",2019,"371","enero"
"162","COND. VISTA DE LA MARINA",2020,"625","enero"
"163","COND. VISTA DE LA MARINA",2018,"406","enero"
"164","COND. VISTA DE LA MARINA",2021,"534","enero"
"165","CONDOMINIOS COTO MARETA",2019,"47","enero"
"166","CONDOMINIOS COTO MARETA",2021,"141","enero"
"167","CONDOMINIOS COTO MARETA",2018,"0","enero"
"168","CONDOMINIOS COTO MARETA",2020,"139","enero"
"169","CONDOMINIOS EL TORO",2020,"3216","enero"
"170","CONDOMINIOS EL TORO",2021,"3399","enero"
"171","CONDOMINIOS EL TORO",2018,"3409","enero"
"172","CONDOMINIOS EL TORO",2019,"3058","enero"
"173","CONDOMINIOS LAS GAVIAS",2019,"852","enero"
"174","CONDOMINIOS LAS GAVIAS",2021,"1443","enero"
"175","CONDOMINIOS LAS GAVIAS",2020,"1358","enero"
"176","CONDOMINIOS LAS GAVIAS",2018,"1151","enero"
"177","CONDOMINIOS MARINA REAL",2019,"792","enero"
"178","CONDOMINIOS MARINA REAL",2021,"804","enero"
"179","CONDOMINIOS MARINA REAL",2020,"586","enero"
"180","CONDOMINIOS MARINA REAL",2018,"1034","enero"
"181","CONDOMINIOS PLAZA SAN IGNACIO",2021,"461","enero"
"182","CONDOMINIOS PLAZA SAN IGNACIO",2018,"383","enero"
"183","CONDOMINIOS PLAZA SAN IGNACIO",2019,"429","enero"
"184","CONDOMINIOS PLAZA SAN IGNACIO",2020,"414","enero"
"185","CONDOMINIOS PUERTA AL MAR",2020,"3263","enero"
"186","CONDOMINIOS PUERTA AL MAR",2018,"2339","enero"
"187","CONDOMINIOS PUERTA AL MAR",2019,"2102","enero"
"188","CONDOMINIOS PUERTA AL MAR",2021,"3240","enero"
"189","CONJ. HAB. FOVISSSTE JABALIES",2019,"6901","enero"
"190","CONJ. HAB. FOVISSSTE JABALIES",2021,"7252","enero"
"191","CONJ. HAB. FOVISSSTE JABALIES",2020,"6388","enero"
